Run,RefluxRatio,BottomFlow,Feed Temperature,CondenserDuty,ReboilerDuty,EthanolPurity,WaterBottom
1,2,13.9,78,1644,-1646,0.78,0.78
2,2.5,13.9,78,1917.01,-1918.64,0.787,0.787
3,3,13.9,78,2189.9,-2191.38,0.792,0.792
4,3.5,13.9,78,2462.78,-2464.16,0.796,0.796
5,4,13.9,78,2735.68,-2736.97,0.8,0.8
6,4.5,13.9,78,3008.57,-3009.78,0.802,0.802
7,5,13.9,78,3281.47,-3282.61,0.805,0.805
8,3,12,78,3727.65,-3728.35,0.805,0.9
9,3,15,78,3019.05,-3020.98,0.804,0.75
10,3,16,78,2782.9,-2785.52,0.804,0.723
11,3,18,78,2310.57,-2314.39,0.802,0.66
12,3,20,78,1838.17,-1842.9,0.805,0.805
13,3,13.9,65,3278.8,-3326.95,0.801,0.61
14,3,13.9,70,3278.82,-3308.9,0.805,0.804
15,3,13.9,75,3278.83,-3290.84,0.805,0.804
16,3,13.9,85,3280.21,-2143.66,0.8,0.79
17,3,13.9,90,3280.22,-2135.88,0.799,0.799
18,3,13.9,95,3280.23,-2128.05,0.799,0.799
19,2,12,65,1867.63,-1915.53,0.78,0.86
20,2,14,75,1630.98,-1643.74,0.78,0.77
21,2.5,12,70,2177.62,-2207.34,0.78,0.87
22,2.5,15,80,1763.91,-1585.79,0.78,0.74
23,3,12,65,2487.58,-2535.33,0.79,0.88
24,3,14,75,2172.37,-2184.79,0.79,0.78
25,3.5,12,70,2797.61,-2827.26,0.79,0.89
26,3.5,15,80,2266.05,-2087.69,0.79,0.75
27,4,12,65,3107.59,-3155.31,0.8,0.89
28,4,14,75,2713.8,-2726.02,0.8,0.79
29,4,16,85,2321.45,-1186.53,0.79,0.71
30,4,18,95,1927.59,-778.161,0.78,0.65
31,5,12,70,3727.62,-3757.27,0.8,0.9
32,5,15,80,3019.24,-2840.65,0.8,0.75
33,2.2,13,68,1865.42,-1902.77,0.78,0.82
34,2.8,17,88,1616.28,-477.518,0.77,0.67
35,3.7,14,72,2551.36,-2574.48,0.79,0.79
36,4.3,16,92,2460.31,-1314.42,0.79,0.71
,,,,,,,
